Batch,Year,Academic Rate,Internship Rate,Current Preference,After Graduate,Career Path,Prefer Country,Career Type
4,4th,3,3,Doing business,Working,Work for a company,Cambodia,"Web Development, Graphic Designer, UX/UI, Digital Marketing, Project Manager"
4,4th,2,3,Doing business,Working,Work for a company,Cambodia,"Digital Marketing, Project Manager"
4,4th,2,3,Doing business,Working,Own business ,Cambodia,Web Development
4,4th,3,2,Programming,Working,Work for a company,Cambodia,"Graphic Designer, UX/UI"
4,4th,2,2,Doing business,Working,Work for a company,Cambodia,Digital Marketing
4,4th,2,3,Programming,Working,Work for a company,Japan,"Web Development, Data Scientist, Graphic Designer, UX/UI, Database Administrator, Digital Marketing"
4,4th,3,3,Programming,Working,Work for a company,Japan,Backend Engineer
4,4th,3,3,Doing business,Working,Work for a company,Japan,Full stack Developer
4,4th,4,3,Programming,Working,Work for a company,Japan,"Web Development, Graphic Designer, Cloud Administrator "
4,4th,4,4,Doing business,Working,Work for a company,Japan,"Web Development, Digital Marketing, Project Manager"
4,4th,3,3,Doing business,Working,Entrepreneurship,Cambodia,"Web Development, Data Scientist, Graphic Designer, Database Administrator, Project Manager"
4,4th,4,4,Doing business,Working,Entrepreneurship,Japan,"Web Development, Project Manager"
4,4th,3,3,Programming,Working,Work for a company,Cambodia,"Web Development, Graphic Designer, UX/UI, Digital Marketing, Project Manager"
4,4th,3,3,Programming,Working,Work for a company,Japan,"Web Development, UX/UI"
6,3rd,4,4,Doing business,Pursue a master's degree,Entrepreneurship,Japan,"Graphic Designer, Digital Marketing, IoT"
4,4th,3,3,Programming,Working,Work for a company,Cambodia,"Web Development, Digital Marketing"
8,2nd,3,3,Doing business,Working,Entrepreneurship,Japan,Graphic Designer
8,2nd,3,3,Doing business,Working,Entrepreneurship,Japan,"Digital Marketing, Project Manager"
6,3rd,4,5,Doing business,Working,Entrepreneurship,Japan,"Web Development, Data Scientist, Database Administrator, Project Manager"
6,3rd,3,3,Programming,Working,Work for a company,Japan,"Web Development, Graphic Designer, UX/UI"
8,2nd,3,3,Programming,Working,Work for a company,Japan,Web Development
